neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm
Suanluang,13.72343,100.61643,1659,10,5,2019-02-28,343,0
Bang Sue,13.80733,100.53038,1843,2,4,2022-08-16,173,1
Vadhana,13.71805,100.59001,4429,3,0,,365,0
Khlong Sam Wa,13.84645,100.69468,2000,1,0,,365,0
Suanluang,13.73584,100.63094,950,1,3,2017-08-09,364,0
Suanluang,13.73601,100.63298,800,1,9,2019-01-07,364,0
Suanluang,13.736,100.63322,742,1,9,2018-11-27,364,0
Vadhana,13.74322,100.5564,1212,24,61,2022-12-03,12,7
Din Daeng,13.75941,100.55571,1500,3,0,,365,0
Vadhana,13.708,100.60072,1500,31,25,2022-12-16,332,2
Phra Khanong,13.69952,100.6077,890,1,10,2019-11-21,332,0
Chatu Chak,13.81892,100.56602,1039,7,75,2022-10-25,331,5
Ratchathewi,13.75285,100.53742,450,1,25,2020-01-12,365,0
Khlong Toei,13.72582,100.5704,990,30,27,2019-06-30,340,0
Sathon,13.72066,100.54713,650,1,106,2022-12-07,315,1
Bang Kapi,13.74914,100.60628,1039,60,3,2019-07-26,337,0
Sathon,13.71759,100.51373,1700,1,218,2022-12-02,333,11
Saphan Sung,13.77458,100.67411,390,1,16,2018-09-02,354,0
Parthum Wan,13.74444,100.54409,3436,1,19,2022-10-25,329,6
Bang Kho laen,13.70968,100.51419,2087,1,0,,365,0
Phra Nakhon,13.74771,100.49931,3545,1,61,2022-11-30,360,6
Vadhana,13.746885,100.558998,1380,1,238,2022-04-10,89,2
Vadhana,13.746899,100.558998,1150,1,218,2022-06-22,89,2
Bang Rak,13.73244,100.5216,1879,1,0,,364,0
Vadhana,13.73861,100.57353,2000,30,34,2022-11-12,195,3
Parthum Wan,13.74373,100.54257,3343,1,25,2022-12-03,334,15
Bang Rak,13.73427,100.52155,1757,30,4,2015-06-09,325,0
Khlong San,13.71303,100.50001,1500,2,3,2020-01-07,32,0
Vadhana,13.7427,100.57013,1100,14,41,2022-12-21,124,10
Vadhana,13.74582,100.5633,1850,50,159,2020-03-09,365,0
Vadhana,13.73094,100.5954,630,1,45,2019-04-08,349,0
Dusit,13.76007,100.51349,1200,14,57,2022-12-10,185,3
Vadhana,13.73053,100.59591,859,1,35,2022-11-23,349,2
Vadhana,13.73198,100.59549,800,1,12,2022-11-13,164,1
Khlong Toei,13.70991,100.59164,800,15,130,2022-10-30,266,4
Vadhana,13.73537,100.58466,3071,2,50,2020-03-08,182,0
Suanluang,13.73754,100.63129,700,1,37,2020-03-05,364,0
Khlong Toei,13.72402,100.57832,2036,5,20,2022-11-18,339,7
Sathon,13.71937,100.53883,800,30,21,2022-07-25,211,4
Huai Khwang,13.77496,100.57364,1351,1,181,2018-01-28,145,0
Din Daeng,13.764796257019045,100.56478118896484,990,1,302,2022-12-28,360,277
Phra Nakhon,13.74941,100.49719,3892,1,2,2018-01-22,363,0
Vadhana,13.74474,100.55718,1250,30,1,2019-02-18,179,0
Phra Nakhon,13.7477,100.49783,3910,1,10,2022-12-07,347,2
Chatu Chak,13.80406,100.57064,517,15,0,,330,0
Suanluang,13.70719,100.60582,1700,1,0,,365,0
Khlong Toei,13.71762,100.57892,5000,31,0,,358,0
Sathon,13.71882,100.54796,2650,1,16,2019-11-24,181,0
Sathon,13.71959,100.5486,3067,1,183,2022-08-26,272,5
Din Daeng,13.79827,100.57379,2200,3,0,,364,0
Parthum Wan,13.74468,100.543,1586,1,15,2020-01-24,362,0
